,tweets,timestamps
0,RT @frogskinman: @Coinbase_NFT @jeffstaple @pplpleasr1 @ShibGF #NFTs every sell of #shibgfnft 80% donates to help empowering and educate gi…,2021-12-17 17:26:57+00:00
1,@Coinbase_NFT @jeffstaple @pplpleasr1 @ShibGF #NFTs every sell of #shibgfnft 80% donates to help empowering and edu… https://t.co/XgCIsKIzZe,2021-12-17 17:20:07+00:00
2,RT @YKarkai: I want to make a wish that this NFT world will become a place where everyone has the same chance to succeed regardless of who…,2021-12-17 17:13:11+00:00
3,RT @behzadsahifi: This is the eighth drop of my collection @opensea (lt is the world of women) #nftartists #nftcommunity #nftart #nft #nfts…,2021-12-17 16:09:21+00:00
4,RT @behzadsahifi: This is the eighth drop of my collection @opensea (lt is the world of women) #nftartists #nftcommunity #nftart #nft #nfts…,2021-12-17 16:06:25+00:00
5,@Drop_Your_NFT_ This is the eighth drop of my collection @opensea (lt is the world of women)… https://t.co/BTfVW9b08g,2021-12-17 15:38:54+00:00
6,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:09:12+00:00
7,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:09:12+00:00
8,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:44+00:00
9,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:42+00:00
10,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:39+00:00
11,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:38+00:00
12,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:34+00:00
13,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:34+00:00
14,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:33+00:00
15,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:30+00:00
16,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:30+00:00
17,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:27+00:00
18,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:27+00:00
19,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:21+00:00
20,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:20+00:00
21,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:13+00:00
22,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:08:12+00:00
23,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:52+00:00
24,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:52+00:00
25,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:44+00:00
26,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:43+00:00
27,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:43+00:00
28,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:43+00:00
29,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:42+00:00
30,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:39+00:00
31,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:39+00:00
32,RT @NinanceOfficial: If there is something women should “avoid” is further inheriting the so-called “lack of confidence” behind gender disp…,2021-12-17 15:07:36+00:00
